country,michelin_count,region,Total_Meat_kg_per_capita
Austria,18,Europe,76.88483124
Belgium,125,Europe,64.55848757
China,107,Asia,70.0047514
Croatia,10,Europe,97.1436328
Denmark,27,Europe,66.7962321
Finland,7,Europe,71.25344435999999
France,618,Europe,82.4929095
Germany,294,Europe,70.70250693999999
Greece,6,Europe,78.7118832
Hong Kong,71,Asia,123.7299983
Hungary,7,Europe,78.88002812
Iceland,1,Europe,91.6067065
Ireland,18,Europe,89.12884330000001
Italy,375,Europe,72.85231446
Japan,406,Asia,59.914467935000005
"Korea, Republic of",32,Asia,83.45368706000001
Luxembourg,9,Europe,85.32334759999999
Macao,15,Asia,111.6719101
Malta,5,Europe,66.03672802
Norway,11,Europe,71.94301700000001
Poland,1,Europe,84.738404426
Portugal,33,Europe,97.038993
Slovenia,6,Europe,60.56302348999999
Spain,228,Europe,104.1592997
Sweden,19,Europe,68.4728188
Switzerland,116,Europe,66.28822210000001
Thailand,32,Asia,25.916176326
United Kingdom of Great Britain and Northern Ireland,176,Europe,83.2533369
